Title,Author,Type,Notes
Deep Work,Cal Newport,Recommended,focus
So Good They Can’t Ignore You,Cal Newport,Recommended,craft first
The Lean Startup,Eric Ries,Recommended,iteration
Crossing the Chasm,Geoffrey Moore,Recommended,adoption curves
Platform Revolution,"Parker, Van Alstyne, Choudary",Recommended,platform economics
Seeing Like a State,James C. Scott,Recommended,state simplification
Dark Money,Jane Mayer,Recommended,political influence
The New Jim Crow,Michelle Alexander,Recommended,mass incarceration
Between the World and Me,Ta Nehisi Coates,Recommended,letter on race
Evicted,Matthew Desmond,Recommended,poverty and policy
Nickel and Dimed,Barbara Ehrenreich,Recommended,work and wages
Why Nations Fail,"Daron Acemoglu, James Robinson",Recommended,institutions
"Guns, Germs, and Steel",Jared Diamond,Recommended,geography and power
Collapse,Jared Diamond,Recommended,societal failure
The Rise and Fall of the Third Reich,William L. Shirer,Recommended,history
A People’s History of the United States,Howard Zinn,Recommended,bottom up history
"Trust Me, I’m Lying",Ryan Holiday,Recommended,media manipulation
Merchants of Doubt,"Naomi Oreskes, Erik Conway",Recommended,manufactured doubt
The Filter Bubble,Eli Pariser,Recommended,personalized media
The Shallows,Nicholas Carr,Recommended,internet cognition
The Information,James Gleick,Recommended,information theory
The Age of Propaganda,"Pratkanis, Aronson",Recommended,influence techniques
The Elements of Journalism,"Kovach, Rosenstiel",Recommended,news principles
Tyranny of Metrics,Jerry Z. Muller,Recommended,measurement traps
The Tyranny of Merit,Michael Sandel,Recommended,merit critique
Justice,Michael Sandel,Recommended,moral philosophy
Moral Tribes,Joshua Greene,Recommended,dual process ethics
Noise,"Kahneman, Sibony, Sunstein",Recommended,decision variability
Drive,Daniel H. Pink,Recommended,motivation
The Power Broker,Robert A. Caro,Recommended,urban power
Master of the Senate,Robert A. Caro,Recommended,LBJ power
On Tyranny,Timothy Snyder,Recommended,lessons from history
The Road to Serfdom,F. A. Hayek,Recommended,markets vs planning
Capitalism and Freedom,Milton Friedman,Recommended,liberal economics
The Shock Doctrine,Naomi Klein,Recommended,disaster capitalism
No Logo,Naomi Klein,Recommended,brands and power
This Changes Everything,Naomi Klein,Recommended,climate and capitalism
The New New Thing,Michael Lewis,Recommended,Silicon Valley
High Output Management,Andrew S. Grove,Recommended,execution
Measure What Matters,John Doerr,Recommended,OKRs
The Innovator’s Dilemma,Clayton Christensen,Recommended,disruption
The Innovator’s Solution,Clayton Christensen,Recommended,framework
Competing Against Luck,Clayton Christensen,Recommended,jobs to be done
The Fifth Discipline,Peter Senge,Recommended,learning orgs
Thinking in Systems,Donella Meadows,Recommended,systems thinking
Team of Rivals,Doris Kearns Goodwin,Recommended,Lincoln leadership
What It Takes,Richard Ben Cramer,Recommended,campaigns
The Best and the Brightest,David Halberstam,Recommended,Vietnam era
The Cold War,John Lewis Gaddis,Recommended,geopolitics
The Better Angels of Our Nature,Steven Pinker,Recommended,violence trends
Stolen Focus,Johann Hari,Recommended,attention crisis
The Power of Habit,Charles Duhigg,Recommended,habits and cues
Range,David Epstein,Recommended,generalists
Peak,"Anders Ericsson, Robert Pool",Recommended,deliberate practice
The War of Art,Steven Pressfield,Recommended,creative resistance
Show Your Work!,Austin Kleon,Recommended,creative sharing
Steal Like an Artist,Austin Kleon,Recommended,creative remix
Story,Robert McKee,Recommended,narrative craft
Save the Cat!,Blake Snyder,Recommended,screenwriting beats
On Writing,Stephen King,Recommended,craft and process
