Title,Author,Type,Notes
American Psycho,Bret Easton Ellis,Recommended,consumerism
Less Than Zero,Bret Easton Ellis,Recommended,disaffection
Fight Club,Chuck Palahniuk,Recommended,"identity, revolt"
Never Let Me Go,Kazuo Ishiguro,Recommended,"ethics, clones"
The Remains of the Day,Kazuo Ishiguro,Recommended,"duty, repression"
Disgrace,J. M. Coetzee,Recommended,"fall, responsibility"
Waiting for the Barbarians,J. M. Coetzee,Recommended,"empire, conscience"
The Sense of an Ending,Julian Barnes,Recommended,"memory, regret"
Atonement,Ian McEwan,Recommended,"guilt, narrative"
The Name of the Rose,Umberto Eco,Recommended,"text, power"
Foucault’s Pendulum,Umberto Eco,Recommended,"paranoia, systems"
2666,Roberto Bolaño,Recommended,"violence, academy"
The Savage Detectives,Roberto Bolaño,Recommended,"youth, poetry"
American Tabloid,James Ellroy,Recommended,political noir
L A Confidential,James Ellroy,Recommended,corruption
The Big Sleep,Raymond Chandler,Recommended,hard boiled
The Long Goodbye,Raymond Chandler,Recommended,"friendship, betrayal"
The Sun Also Rises,Ernest Hemingway,Recommended,dislocation
For Whom the Bell Tolls,Ernest Hemingway,Recommended,"war, choice"
Nausea,Jean Paul Sartre,Recommended,existential nausea
Steppenwolf,Hermann Hesse,Recommended,duality
Demian,Hermann Hesse,Recommended,formation
Siddhartha,Hermann Hesse,Recommended,seeking
The White Tiger,Aravind Adiga,Recommended,"class, ambition"
A Fine Balance,Rohinton Mistry,Recommended,system vs individual
The Godfather,Mario Puzo,Recommended,"power, family"
Jesus’ Son,Denis Johnson,Recommended,"edge, grace"
If on a winter’s night a traveler,Italo Calvino,Recommended,meta reading
Invisible Cities,Italo Calvino,Recommended,"memory, place"
American War,Omar El Akkad,Recommended,future conflict
The Circle,Dave Eggers,Recommended,platform control
Pattern Recognition,William Gibson,Recommended,"brands, signals"
The Mezzanine,Nicholson Baker,Recommended,micro attention
The God of Small Things,Arundhati Roy,Recommended,"memory, caste"
On Earth We Are Briefly Gorgeous,Ocean Vuong,Recommended,"form, tenderness"
Neverwhere,Neil Gaiman,Recommended,underworld
The City and the City,China Miéville,Recommended,perception as law
Annihilation,Jeff VanderMeer,Recommended,"unknown, self"
The Leftovers,Tom Perrotta,Recommended,"grief, mystery"
The Man in the High Castle,Philip K. Dick,Recommended,alt history
The Orphan Master's Son,Adam Johnson,Recommended,"state, identity"
The Corrections,Jonathan Franzen,Recommended,"family, America"
The Hunger Games,Suzanne Collins,Recommended,"spectacle, control"
Cloud Atlas,David Mitchell,Recommended,interconnected
The Bone Clocks,David Mitchell,Recommended,ambition
The White Guard,Mikhail Bulgakov,Recommended,"war, family"
The Double,José Saramago,Recommended,identity
American Gods,Neil Gaiman,Recommended,"myth, America"
A Confederacy of Dunces,John Kennedy Toole,Recommended,comic genius
